0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:44:12 +0900] "GET /Team_Proj/citylisting-master/blog_details.html HTTP/1.1" 200 14288
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:44:12 +0900] "GET /Team_Proj/citylisting-master/assets/img/jiyoon/img_osaka1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:44:12 +0900] "GET /Team_Proj/citylisting-master/assets/img/jiyoon/img_main2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:45:42 +0900] "GET /Team_Proj/citylisting-master/blog_details.html HTTP/1.1" 200 14306
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:45:42 +0900] "GET /Team_Proj/citylisting-master/assets/img/jiyoon/img_osaka1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:45:42 +0900] "GET /Team_Proj/citylisting-master/assets/img/jiyoon/img_main2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:45:49 +0900] "GET /Team_Proj/citylisting-master/blog_details.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:45:57 +0900] "GET /Team_Proj/citylisting-master/blog_details.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:51:58 +0900] "GET /Team_Proj/citylisting-master/blog_details.html HTTP/1.1" 200 14306
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:51:58 +0900] "GET /Team_Proj/citylisting-master/assets/img/jiyoon/img_osaka2.jpg HTTP/1.1" 200 846841
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:51:58 +0900] "GET /Team_Proj/citylisting-master/assets/img/jiyoon/img_osaka3.jpg HTTP/1.1" 200 90704
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:51:58 +0900] "GET /Team_Proj/citylisting-master/assets/img/jiyoon/img_osaka5.jpg HTTP/1.1" 200 163589
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:51:58 +0900] "GET /Team_Proj/citylisting-master/assets/img/jiyoon/img_osaka7.jpg HTTP/1.1" 200 398819
